Entry Date,Symbol,MarketCap,Sector,Target Month,Month Open,Month High,Month Low,Month Close,%High,%Low,%Close
01-12-2021,UNOMINDA,Largecap,Auto,Jan-2022,608.43,615.78,471.64,545.75,1.21,-22.48,-10.3
01-12-2021,TECHM,Largecap,I.T,Jan-2022,1562.47,1582.45,1224.05,1287.37,1.28,-21.66,-17.61
01-12-2021,PGEL,Midcap,Consumer Discretionary,Jan-2022,80.93,87.08,70.15,75.57,7.6,-13.32,-6.62
01-12-2021,BSE,Largecap,Financials,Jan-2022,203.75,232.92,197.99,207.27,14.31,-2.83,1.73
01-12-2021,IRCTC,Largecap,Transportation,Jan-2022,795.78,878.76,750.72,830.31,10.43,-5.66,4.34
03-01-2022,POWERINDIA,Largecap,Industrials,Feb-2022,3172.74,3422.17,2692.39,3295.91,7.86,-15.14,3.88
02-03-2022,TATAELXSI,Largecap,I.T,Apr-2022,8588.4,8859.47,7212.75,7488.27,3.16,-16.02,-12.81
02-03-2022,SRF,Largecap,Chemicals,Apr-2022,2657.52,2739.86,2394.73,2482.36,3.1,-9.89,-6.59
02-03-2022,ADANIENT,Largecap,Services,Apr-2022,2014.41,2416.64,2009.46,2327.85,19.97,-0.25,15.56
01-04-2022,ADANIGREEN,Largecap,Power & Utilities,May-2022,2860.0,2955.0,1833.1,1888.95,3.32,-35.91,-33.95
01-04-2022,ANGELONE,Smallcap,Financials,May-2022,179.81,180.66,117.74,137.33,0.47,-34.52,-23.63
01-07-2022,BEL,Largecap,Aerospace & Defence,Aug-2022,88.39,100.34,85.53,98.62,13.52,-3.24,11.58
01-07-2022,ADANIENT,Largecap,Services,Aug-2022,2572.32,3258.63,2565.68,3189.97,26.68,-0.26,24.01
01-07-2022,VBL,Largecap,FMCG,Aug-2022,176.73,215.38,176.37,205.45,21.87,-0.2,16.25
01-09-2022,SOLARINDS,Largecap,Aerospace & Defence,Oct-2022,3930.42,4160.88,3797.07,3888.61,5.86,-3.39,-1.06
03-10-2022,CGPOWER,Largecap,Industrials,Nov-2022,256.84,280.3,244.74,276.2,9.13,-4.71,7.54
03-10-2022,TVSMOTOR,Largecap,Auto,Nov-2022,1135.14,1150.93,1015.7,1034.61,1.39,-10.52,-8.86
03-10-2022,HAL,Largecap,Aerospace & Defence,Nov-2022,1210.38,1333.32,1149.91,1323.28,10.16,-5.0,9.33
03-10-2022,MAZDOCK,Largecap,Aerospace & Defence,Nov-2022,306.77,449.75,304.44,442.28,46.61,-0.76,44.17
01-11-2022,PHOENIXLTD,Largecap,Realty,Dec-2022,728.64,750.42,628.23,707.14,2.99,-13.78,-2.95
01-11-2022,RVNL,Largecap,Realty,Dec-2022,70.84,74.88,57.94,65.69,5.71,-18.21,-7.27
01-12-2022,SOLARINDS,Largecap,Aerospace & Defence,Jan-2023,4432.91,4522.6,3951.55,3988.72,2.02,-10.86,-10.02
02-01-2023,CGPOWER,Largecap,Industrials,Feb-2023,300.16,334.48,288.01,301.54,11.44,-4.05,0.46
01-03-2023,KPITTECH,Largecap,I.T,Apr-2023,914.45,934.49,729.83,902.97,2.19,-20.19,-1.25
03-04-2023,CGPOWER,Largecap,Industrials,May-2023,305.82,394.99,287.95,390.07,29.16,-5.84,27.55
03-04-2023,ITC,Largecap,FMCG,May-2023,367.37,398.55,354.74,392.81,8.49,-3.44,6.93
02-05-2023,VBL,Largecap,FMCG,Jun-2023,336.13,346.02,300.19,319.1,2.94,-10.69,-5.07
02-05-2023,HAL,Largecap,Aerospace & Defence,Jun-2023,1490.55,1911.58,1481.11,1835.36,28.25,-0.63,23.13
01-06-2023,BEL,Largecap,Aerospace & Defence,Jul-2023,123.2,128.77,118.36,127.79,4.52,-3.93,3.73
01-06-2023,SIEMENS,Largecap,Industrials,Jul-2023,2196.5,2370.61,2045.33,2320.59,7.93,-6.88,5.65
01-06-2023,KEI,Largecap,Industrials,Jul-2023,2316.47,2806.09,2269.17,2421.73,21.14,-2.04,4.54
03-07-2023,CUMMINSIND,Largecap,Industrials,Aug-2023,1911.61,1916.79,1635.92,1653.1,0.27,-14.42,-13.52
03-07-2023,PFC,Largecap,Financials,Aug-2023,189.72,200.61,180.6,188.31,5.74,-4.81,-0.74
03-07-2023,BDL,Largecap,Aerospace & Defence,Aug-2023,607.71,609.91,538.81,555.22,0.36,-11.34,-8.64
03-07-2023,POLYCAB,Largecap,Industrials,Aug-2023,4795.91,5113.71,4445.3,5071.2,6.63,-7.31,5.74
03-07-2023,MAZDOCK,Largecap,Aerospace & Defence,Aug-2023,929.58,966.54,834.21,899.87,3.98,-10.26,-3.2
01-08-2023,SUPREMEIND,Largecap,Plastic products,Sep-2023,4452.64,4623.34,3951.24,4056.0,3.83,-11.26,-8.91
01-08-2023,RECLTD,Largecap,Financials,Sep-2023,214.05,262.63,207.4,258.54,22.69,-3.11,20.78
01-08-2023,VBL,Largecap,FMCG,Sep-2023,359.17,389.83,355.11,376.57,8.54,-1.13,4.84
01-08-2023,KALYANKJIL,Largecap,Consumer Discretionary,Sep-2023,254.63,260.55,201.76,226.38,2.32,-20.77,-11.1
01-09-2023,TVSMOTOR,Largecap,Auto,Oct-2023,1524.67,1620.84,1477.46,1577.99,6.31,-3.1,3.5
01-09-2023,RVNL,Largecap,Realty,Oct-2023,168.77,174.75,140.42,152.28,3.54,-16.8,-9.77
01-09-2023,IRFC,Largecap,Financials,Oct-2023,74.22,78.04,63.5,70.12,5.14,-14.44,-5.53
03-10-2023,SUZLON,Largecap,Industrials,Nov-2023,30.7,44.0,30.6,40.75,43.32,-0.33,32.74
03-10-2023,SOLARINDS,Largecap,Aerospace & Defence,Nov-2023,5537.48,7822.42,5292.91,6280.48,41.26,-4.42,13.42
03-10-2023,BSE,Largecap,Financials,Nov-2023,620.61,840.8,578.48,818.54,35.48,-6.79,31.89
03-10-2023,KALYANKJIL,Largecap,Consumer Discretionary,Nov-2023,287.51,357.3,284.68,323.43,24.27,-0.99,12.49
01-11-2023,BEL,Largecap,Aerospace & Defence,Dec-2023,145.32,181.91,144.15,180.93,25.18,-0.81,24.5
01-11-2023,TRENT,Largecap,Consumer Discretionary,Dec-2023,2782.68,3055.6,2748.13,3050.21,9.81,-1.24,9.61
01-11-2023,PHOENIXLTD,Largecap,Realty,Dec-2023,1181.9,1203.59,1067.75,1118.92,1.83,-9.66,-5.33
01-11-2023,PRESTIGE,Largecap,Realty,Dec-2023,1016.4,1228.71,1014.66,1176.42,20.89,-0.17,15.74
